Intent,Entity,Response
First Aid Guide,food_and_water,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
General Guidance,mental_health,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
General Guidance,shock,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
Disaster Awareness,mental_health,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
Disaster Awareness,sprain,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
General Guidance,heatwave,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
Disaster Awareness,sprain,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
First Aid Guide,hurricane,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
First Aid Guide,shock,Find the nearest shelter by checking local resources or contacting local authorities for information.
Disaster Awareness,earthquake,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
First Aid Guide,tornado,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
Disaster Awareness,earthquake,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
General Guidance,shelter,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
General Guidance,burn,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
First Aid Guide,bleeding,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
Disaster Awareness,sprain,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
Disaster Awareness,heatwave,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
First Aid Guide,earthquake,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
General Guidance,tornado,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
First Aid Guide,fracture,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
General Guidance,food_and_water,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
Disaster Awareness,shelter,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
General Guidance,wildfire,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
First Aid Guide,hurricane,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
Disaster Awareness,earthquake,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
First Aid Guide,evacuation,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
First Aid Guide,shock,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
General Guidance,volcano,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
First Aid Guide,earthquake,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
General Guidance,drowning,Find the nearest shelter by checking local resources or contacting local authorities for information.
Disaster Awareness,wildfire,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
General Guidance,pandemic,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
Disaster Awareness,bleeding,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
General Guidance,shock,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
First Aid Guide,heatwave,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
General Guidance,earthquake,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
General Guidance,food_and_water,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
Disaster Awareness,bleeding,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
First Aid Guide,heatwave,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
General Guidance,shock,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
First Aid Guide,mental_health,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
General Guidance,mental_health,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
General Guidance,cut,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
First Aid Guide,burn,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
General Guidance,burn,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
First Aid Guide,shelter,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
General Guidance,shelter,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
Disaster Awareness,shelter,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
First Aid Guide,fracture,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
General Guidance,bleeding,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
General Guidance,fracture,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
Disaster Awareness,drowning,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
First Aid Guide,cut,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
General Guidance,food_and_water,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
Disaster Awareness,flood,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
General Guidance,wildfire,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
First Aid Guide,food_and_water,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
General Guidance,tornado,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
General Guidance,shock,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
General Guidance,shock,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
General Guidance,heatwave,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
Disaster Awareness,hurricane,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
Disaster Awareness,heatwave,Find the nearest shelter by checking local resources or contacting local authorities for information.
First Aid Guide,mental_health,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
Disaster Awareness,flood,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
Disaster Awareness,tornado,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
First Aid Guide,sprain,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
Disaster Awareness,tornado,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
Disaster Awareness,wildfire,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
First Aid Guide,tornado,Find the nearest shelter by checking local resources or contacting local authorities for information.
First Aid Guide,wildfire,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
First Aid Guide,fracture,Find the nearest shelter by checking local resources or contacting local authorities for information.
General Guidance,pandemic,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
General Guidance,food_and_water,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
First Aid Guide,pandemic,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
First Aid Guide,food_and_water,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
First Aid Guide,hurricane,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
General Guidance,sprain,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
General Guidance,tornado,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
Disaster Awareness,shelter,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
Disaster Awareness,burn,Find the nearest shelter by checking local resources or contacting local authorities for information.
First Aid Guide,burn,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
General Guidance,cut,Find the nearest shelter by checking local resources or contacting local authorities for information.
General Guidance,bleeding,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
General Guidance,shock,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
First Aid Guide,pandemic,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
Disaster Awareness,hurricane,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
First Aid Guide,volcano,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
Disaster Awareness,cut,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
Disaster Awareness,bleeding,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
First Aid Guide,hurricane,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
Disaster Awareness,volcano,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
Disaster Awareness,burn,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
General Guidance,fracture,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
Disaster Awareness,sprain,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
First Aid Guide,flood,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
First Aid Guide,evacuation,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
Disaster Awareness,burn,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
General Guidance,flood,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
General Guidance,flood,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
Disaster Awareness,hurricane,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
Disaster Awareness,mental_health,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
First Aid Guide,food_and_water,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
Disaster Awareness,wildfire,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
General Guidance,evacuation,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
Disaster Awareness,evacuation,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
First Aid Guide,cut,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
First Aid Guide,sprain,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
First Aid Guide,shelter,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
First Aid Guide,mental_health,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
First Aid Guide,bleeding,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
Disaster Awareness,flood,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
Disaster Awareness,flood,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
Disaster Awareness,drowning,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
Disaster Awareness,wildfire,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
First Aid Guide,shelter,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
General Guidance,bleeding,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
Disaster Awareness,wildfire,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
General Guidance,hurricane,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
Disaster Awareness,fracture,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
Disaster Awareness,volcano,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
General Guidance,flood,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
First Aid Guide,heatwave,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
Disaster Awareness,cut,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
Disaster Awareness,fracture,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
Disaster Awareness,cut,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
General Guidance,cut,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
First Aid Guide,hurricane,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
General Guidance,cut,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
General Guidance,burn,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
First Aid Guide,food_and_water,Find the nearest shelter by checking local resources or contacting local authorities for information.
General Guidance,drowning,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
First Aid Guide,flood,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
Disaster Awareness,pandemic,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
First Aid Guide,volcano,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
Disaster Awareness,tornado,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
General Guidance,heatwave,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
General Guidance,sprain,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
Disaster Awareness,fracture,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
General Guidance,evacuation,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
First Aid Guide,food_and_water,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
Disaster Awareness,cut,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
General Guidance,drowning,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
Disaster Awareness,hurricane,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
First Aid Guide,evacuation,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
First Aid Guide,shock,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
General Guidance,heatwave,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
First Aid Guide,cut,Find the nearest shelter by checking local resources or contacting local authorities for information.
Disaster Awareness,fracture,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
First Aid Guide,tornado,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
Disaster Awareness,shelter,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
Disaster Awareness,earthquake,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
First Aid Guide,evacuation,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
General Guidance,shock,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
First Aid Guide,food_and_water,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
Disaster Awareness,earthquake,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
Disaster Awareness,pandemic,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
First Aid Guide,shock,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
General Guidance,hurricane,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
General Guidance,earthquake,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
Disaster Awareness,volcano,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
Disaster Awareness,fracture,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
General Guidance,food_and_water,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
First Aid Guide,fracture,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
Disaster Awareness,bleeding,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
Disaster Awareness,earthquake,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
General Guidance,food_and_water,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
First Aid Guide,heatwave,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
General Guidance,volcano,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
First Aid Guide,wildfire,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
First Aid Guide,pandemic,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
First Aid Guide,tornado,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
Disaster Awareness,wildfire,"For bleeding, apply direct pressure to the wound with a clean cloth, elevate the injured area if possible, and seek medical assistance immediately."
General Guidance,wildfire,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
General Guidance,shock,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
First Aid Guide,pandemic,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
Disaster Awareness,burn,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
Disaster Awareness,flood,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
General Guidance,tornado,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
Disaster Awareness,shelter,"During an earthquake, drop to your knees, cover your head and neck, and stay indoors. Avoid using elevators and follow evacuation instructions if provided."
Disaster Awareness,mental_health,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
First Aid Guide,shelter,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
Disaster Awareness,flood,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
First Aid Guide,sprain,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
General Guidance,flood,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
Disaster Awareness,earthquake,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
General Guidance,flood,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
General Guidance,burn,Find the nearest shelter by checking local resources or contacting local authorities for information.
Disaster Awareness,flood,"During a flood, move to higher ground, avoid walking or driving through floodwaters, and listen to local authorities for safety instructions and updates."
Disaster Awareness,shock,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
General Guidance,cut,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
Disaster Awareness,shock,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
First Aid Guide,cut,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
First Aid Guide,shelter,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
Disaster Awareness,burn,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
General Guidance,evacuation,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
Disaster Awareness,wildfire,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
Disaster Awareness,burn,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
General Guidance,mental_health,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
General Guidance,wildfire,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
First Aid Guide,mental_health,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
General Guidance,food_and_water,"During a pandemic, practice good hygiene, wear masks as advised, maintain social distancing, and stay informed through official health sources."
First Aid Guide,earthquake,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
General Guidance,heatwave,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
Disaster Awareness,cut,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
First Aid Guide,mental_health,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
First Aid Guide,wildfire,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
First Aid Guide,bleeding,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
Disaster Awareness,mental_health,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
Disaster Awareness,heatwave,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
Disaster Awareness,sprain,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
Disaster Awareness,hurricane,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
Disaster Awareness,cut,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
First Aid Guide,earthquake,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
Disaster Awareness,sprain,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
First Aid Guide,fracture,"During a hurricane, stay indoors, secure windows and doors, and have an emergency kit ready. Follow evacuation orders if issued and avoid using candles."
Disaster Awareness,drowning,Find the nearest shelter by checking local resources or contacting local authorities for information.
General Guidance,volcano,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
First Aid Guide,sprain,"For shock, lay the person flat, elevate their legs, keep them warm, and seek medical assistance immediately."
General Guidance,wildfire,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
First Aid Guide,tornado,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
General Guidance,cut,"Check local distribution centers for food and water. For specific locations and times, contact local services or visit official websites."
Disaster Awareness,food_and_water,"During a heatwave, stay hydrated, avoid outdoor activities during peak heat hours, and use fans or air conditioning. Seek medical attention if you experience symptoms of heat exhaustion."
Disaster Awareness,wildfire,"For a sprain, apply ice to the injured area, keep it elevated, and avoid using it. Seek medical attention if the pain persists or if there is severe swelling."
Disaster Awareness,flood,"For cuts, clean the wound with water, apply antiseptic, and cover with a sterile bandage. Seek professional medical help if needed."
First Aid Guide,evacuation,Seek support from mental health professionals during crises. Contact local mental health services or hotlines for assistance.
General Guidance,drowning,Follow local evacuation orders and use designated evacuation routes. Keep an emergency kit ready and stay informed through local news.
Disaster Awareness,mental_health,"For drowning, get the person out of the water, perform CPR if trained, and seek emergency medical help immediately."
General Guidance,sprain,"During a wildfire, evacuate if instructed, close windows and doors to keep out smoke, and use a damp cloth to cover your nose and mouth. Stay informed via local news."
General Guidance,cut,"For a fracture, immobilize the affected area, apply ice to reduce swelling, and seek immediate medical help."
Disaster Awareness,shelter,"During a volcanic eruption, stay indoors, avoid inhaling ash, and follow evacuation instructions. Keep windows and doors sealed to prevent ash from entering your home."
Disaster Awareness,drowning,"During a tornado, move to a small, windowless interior room on the lowest floor, cover yourself with a mattress or heavy furniture, and avoid using elevators."
General Guidance,wildfire,"For burns, cool the area with running water for at least 10 minutes, cover with a clean, non-stick bandage, and seek medical attention if necessary."
Disaster Awareness,food_and_water,Find the nearest shelter by checking local resources or contacting local authorities for information.
